flight_id,air_temperature,battery_serial_number,body_serial_number,commit,launch_airspeed,launch_groundspeed,launch_timestamp,preflight_voltage,rel_humidity,static_pressure,wind_direction,wind_magnitude,wing_serial_number
17502,23.55,15SPJJJ09036021,577350132790558758,5c504d9a16,29.834733963012695,30.245031986911247,2018-09-26 18:59:40 CAT,31.941295623779297,50.45,80270.57995603562,-133.5825272287911,3.5230574717167533,15SPJJJ09008034
17506,25.9,15SPJJJ10040016,577348835962150933,5c504d9a16,33.64322280883789,29.88027078449322,2018-09-27 09:29:02 CAT,32.212459564208984,55.85000000000001,80582.09658367158,-42.231260726701734,2.50357933628901,15SPJJJ09008034
17507,26.5,15SPJJJ10023027,577350132790558758,5c504d9a16,34.615867614746094,30.007122003159562,2018-09-27 09:43:46 CAT,32.290245056152344,59.02501071957982,80562.5755431306,-58.31751878125167,3.537401293024643,15SPJJJ09025064
17508,30.9,15SPJJJ10019016,577348835878129703,5c504d9a16,35.114540100097656,30.1404052324656,2018-09-27 09:48:24 CAT,32.048248291015625,50.75,80611.05770208454,-40.29002481051753,3.598915159985681,15SPJJJ09036063
17509,27.75,15SPJJJ10007045,577348835962032159,5c504d9a16,32.75183868408203,29.991111313613747,2018-09-27 11:11:10 CAT,32.34210205078125,55.6,80575.00714619133,-63.575283907912265,4.0202858652675,15SPJJJ09024061
17510,30.900000000000002,15SPJJJ10050016,577348835962032159,5c504d9a16,33.24867630004883,29.937243002261802,2018-09-27 13:16:46 CAT,32.214622497558594,50.249999915550845,80277.16646663132,-45.1481781633773,2.941721582240487,15SPJJJ09025064
17512,34.05,15SPJJJ10029029,577350132807348254,5c504d9a16,35.555152893066406,29.81604911243549,2018-09-27 13:28:59 CAT,32.387474060058594,43.75000000000001,80238.76388710614,-19.58083294097464,2.447879580307431,15SPJJJ09036063
17513,31.4,15SPJJJ11059037,577348835878129703,5c504d9a16,30.206018447875977,30.20486994501028,2018-09-27 14:22:42 CAT,32.26323699951172,41.35,80188.86863784229,-58.294107063154016,1.3884812724674043,15SPJJJ09008034
17515,33.05,15SPJJJ10054027,577350132790558758,5c504d9a16,33.99077224731445,30.127804093486553,2018-09-27 15:00:15 CAT,32.17897033691406,45.45,80077.78517332584,-58.7818239024546,3.1948325506317445,15SPJJJ09025064
17518,33.2,15SPJJJ10050049,577348835962032159,5c504d9a16,34.324031829833984,29.580329566566995,2018-09-27 15:21:01 CAT,32.20597839355469,46.800000000000004,80205.11503444704,-25.003106926703456,3.34165340881934,15SPJJJ09024061
17521,34.45,15SPJJJ10040016,577350132790558758,5c504d9a16,31.39380645751953,29.647747670736432,2018-09-27 15:56:19 CAT,32.25459289550781,45.75,80057.22806794904,-82.87114470852437,2.9401093917262404,15SPJJJ09025064
17522,33.2500111421642,15SPJJJ10030028,577348835962032159,5c504d9a16,33.3801155090332,29.8358697129401,2018-09-27 16:01:07 CAT,32.38207244873047,46.49999999798858,80195.08514203968,-47.00421944304184,3.0044629150206728,15SPJJJ09024061
17525,32.4,15SPJJJ10022048,577350132807348254,5c504d9a16,33.73514938354492,29.795468978896622,2018-09-27 16:17:12 CAT,32.358306884765625,38.75002835710082,80078.42469617292,-61.395614119906824,2.8173004925475853,15SPJJJ09008034
17526,32.25,15SPJJJ11059037,577348835878129703,5c504d9a16,33.29816818237305,30.019596788826554,2018-09-27 16:22:48 CAT,32.398277282714844,47.1,80157.80083068198,-60.5160519401068,2.303403164589795,15SPJJJ09052035
17527,29.550000000000004,15SPJJJ10029029,577350132807348254,5c504d9a16,31.47858428955078,30.187676591440386,2018-09-27 16:51:11 CAT,32.523597717285156,39.2,80077.21620600366,-51.73147599272659,1.7674583773821655,15SPJJJ09008034
17528,28.400000000000002,15SPJJJ10012034,577350132790558758,5c504d9a16,32.997318267822266,30.081102752535863,2018-09-27 16:56:14 CAT,32.25351333618164,46.85,80157.77271597854,-75.32588780449846,2.873994733967975,15SPJJJ09024061
17529,28.94999983123411,15SPJJJ10050049,577348835962032159,5c504d9a16,34.15895080566406,29.92533787517252,2018-09-27 17:00:58 CAT,32.325897216796875,46.62501949701603,80052.03275130395,-74.95099105403634,3.1929030805287857,15SPJJJ09025064
17531,26.800000000000004,15SPJJJ09036021,577348835962032159,5c504d9a16,32.659000396728516,30.173087172285367,2018-09-27 17:26:51 CAT,32.26431655883789,47.300000000000004,80010.13872016424,-73.63110825408647,3.1260574814083166,15SPJJJ09025064
17532,26.150000000000002,15SPJJJ10048030,577348835962032159,5c504d9a16,32.93248748779297,30.17522866288716,2018-09-27 18:03:08 CAT,31.986669540405273,47.400000000000006,80096.22157012274,-75.60618146969678,2.88601654433471,15SPJJJ09025064
17533,25.150000000000002,15SPJJJ10050049,577350132807348254,5c504d9a16,30.83391761779785,30.339661667690176,2018-09-27 18:10:40 CAT,32.33021926879883,48.375006161694785,80238.28385991954,-65.50506971707246,2.120848764441728,15SPJJJ09052035
17534,25.200000000000003,15SPJJJ10022048,577350132790558758,5c504d9a16,28.027149200439453,30.823632004590195,2018-09-27 18:23:34 CAT,32.193016052246094,41.7,80128.98650746739,-139.83153745416138,2.8768417867711804,15SPJJJ09008034
17542,24.050000000000004,15SPJJJ11059037,577350132790558758,5c504d9a16,33.06681823730469,30.0435621733301,2018-09-28 07:46:13 CAT,32.22002410888672,54.050000000000004,80592.76097572596,-78.63672138524156,3.7961803289092346,15SPJJJ09052035
17543,23.75,15SPJJJ09036021,577350132807348254,5c504d9a16,34.22804641723633,29.86965157132354,2018-09-28 07:50:18 CAT,32.0860595703125,52.150000000000006,80702.77520101519,-48.304910587291445,3.1981958442158698,15SPJJJ09031032
17546,23.950000000000003,15SPJJJ10040016,577350132790558758,5c504d9a16,32.83284378051758,29.992105264551462,2018-09-28 09:39:19 CAT,32.15304183959961,57.35,80511.8802165711,-40.458465507281815,2.8304632817093944,15SPJJJ09025064
17548,26.700000000000003,15SPJJJ10054027,577348835962032159,5c504d9a16,34.17671203613281,30.205289323849406,2018-09-28 09:54:59 CAT,32.14115905761719,52.62503477427785,80680.30238534586,-27.41794408601364,2.9591910526517298,15SPJJJ09031032
17549,26.35,15SPJJJ10029029,577348835878129703,5c504d9a16,32.19431686401367,29.827321506402562,2018-09-28 10:15:27 CAT,32.280521392822266,51.45,80485.3473032581,-24.816361124352643,2.626941298984984,15SPJJJ09008034
17550,24.950000000000003,15SPJJJ10050016,577350132790558758,5c504d9a16,31.114444732666016,29.705723455868487,2018-09-28 11:01:37 CAT,32.32697677612305,58.55,80444.8698752254,-46.406040981308095,2.5110041970325274,15SPJJJ09025064
17551,25.6,15SPJJJ11059037,577350132807348254,5c504d9a16,34.087711334228516,29.962716282214743,2018-09-28 11:24:51 CAT,32.269718170166016,56.0,80523.0300643904,-44.75965996008286,1.8741196947336245,15SPJJJ09052035
17553,25.05,15SPJJJ10048030,577348835878129703,5c504d9a16,32.927223205566406,29.874750926063804,2018-09-28 11:45:28 CAT,31.94561767578125,54.60000000000001,80389.0342318596,-11.833919474274452,1.7139687707957059,15SPJJJ09008034
17554,27.1,15SPJJJ09036021,577350132790558758,5c504d9a16,32.9047966003418,30.048872327036534,2018-09-28 12:07:12 CAT,31.772762298583984,56.350000084456,80346.57763657816,-50.25803214881162,2.574006498163119,15SPJJJ09025064
17556,26.950000000000003,15SPJJJ10040016,577350132807389214,5c504d9a16,34.109012603759766,29.92788309273296,2018-09-28 14:07:02 CAT,31.723066329956055,55.150000000000006,80218.2124883935,-26.158654930049256,3.2599959983970073,15SPJJJ09025064
17560,26.47500185522545,15SPJJJ10054027,577350132790558758,5c504d9a16,32.472511291503906,30.341480616390033,2018-09-28 15:34:59 CAT,32.10658645629883,53.50000025148961,80355.15499309967,-36.18142072179474,1.2862002848980416,15SPJJJ09031032
17561,28.450000000000003,15SPJJJ10029029,577348835878129703,5c504d9a16,33.56167984008789,30.082734514044766,2018-09-28 15:50:27 CAT,32.09038162231445,53.35000000000001,80355.92066283358,-39.622929401883745,1.9156935492365919,15SPJJJ09040032
17563,26.85,15SPJJJ10050016,577350132807389214,5c504d9a16,34.103904724121094,29.974597742838757,2018-09-28 16:02:05 CAT,32.27619934082031,51.5,80301.8889401976,-10.157555601631584,2.7199328771970044,15SPJJJ09024061
17564,25.450000000000003,15SPJJJ11059037,577350132790489124,5c504d9a16,32.51055908203125,30.00866047240654,2018-09-28 16:17:00 CAT,32.194095611572266,57.04999991361729,80138.56139061606,-21.527086454902793,1.9273382975421716,15SPJJJ09025064
17565,24.9,15SPJJJ10030028,577348835962032159,5c504d9a16,32.68724822998047,29.98687187560881,2018-09-28 16:24:04 CAT,32.17140579223633,55.35,80288.85529681803,2.5324804721147927,2.1315374297537444,15SPJJJ09052035
17567,23.55,15SPJJJ09036021,577350132790489124,5c504d9a16,32.77823257446289,30.28221051118301,2018-09-28 16:48:35 CAT,32.161685943603516,58.7,80183.23847739643,-22.6707397948135,2.7102057707522675,15SPJJJ09025064
17568,23.074977212438032,15SPJJJ10012034,577350132807348254,5c504d9a16,31.137224197387695,30.122734999136696,2018-09-28 17:15:13 CAT,31.748994827270508,53.54995459560949,80213.91129480646,-59.85596010161362,1.129083492649163,15SPJJJ09008034
17570,19.400000000000002,15SPJJJ11059037,577350132790558758,5c504d9a16,31.44617462158203,29.988446528666596,2018-09-28 17:53:50 CAT,32.31077194213867,57.1,80380.88564853994,-104.67994167890417,1.8653071930578542,15SPJJJ09052035
17573,17.6,15SPJJJ10030028,577350132807389214,5c504d9a16,28.968751907348633,30.49284638784442,2018-09-28 18:20:05 CAT,32.234066009521484,60.95,80393.96153147088,168.17182500509878,1.639622543355858,15SPJJJ09024061
17574,17.200000000000003,15SPJJJ10056048,577348835878129703,5c504d9a16,28.55714225769043,30.68885338122218,2018-09-28 18:26:05 CAT,32.28916549682617,66.22500742738907,80261.4099562981,152.54882358322305,1.9630338425044869,15SPJJJ09025064
17576,27.300000000000004,15SPJJJ11059037,577350132807389214,38bf99b15a,32.988773345947266,29.900800454900715,2018-09-29 14:03:51 CAT,32.00071334838867,55.05,80279.50578769883,-22.473082760417164,2.5474626724672644,15SPJJJ09008034
17577,28.55,15SPJJJ10050016,577348835878129703,38bf99b15a,35.29971694946289,29.88390689029048,2018-09-29 14:29:58 CAT,31.987751007080078,58.166765245766804,80436.31045591396,-22.30533165158242,3.1397517584364443,15SPJJJ09040032
17578,28.700000000000003,15SPJJJ10022048,577348835962032159,38bf99b15a,33.149986267089844,29.71436333652713,2018-09-29 14:38:19 CAT,32.023399353027344,58.6749370368063,80344.68562194174,-35.5439313404801,2.138864063883739,15SPJJJ09052035
17579,26.5,15SPJJJ09036021,577350132807389214,38bf99b15a,32.9137077331543,29.924138891225834,2018-09-29 15:44:07 CAT,32.11198806762695,53.17498539877131,80200.68780974355,-31.358703498020837,3.4593039217664434,15SPJJJ09008034
17580,27.87509562702318,15SPJJJ10019016,577350132790558758,38bf99b15a,33.19122314453125,29.585705374628276,2018-09-29 15:47:30 CAT,32.2513542175293,55.800000000000004,80391.35900839744,-27.420383333470085,3.1480680859007886,15SPJJJ09031032
17581,26.200000000000003,15SPJJJ10060032,577350132807348254,38bf99b15a,32.180179595947266,30.06553272508915,2018-09-29 15:51:34 CAT,32.137916564941406,58.6,80366.78901482913,-16.334825605279132,3.700726235543023,15SPJJJ09040032
17582,23.75,15SPJJJ10012034,577350132790489124,38bf99b15a,32.0859489440918,29.962679077516846,2018-09-29 17:08:59 CAT,32.09578323364258,58.550000000000004,80393.7437850123,-30.89319287566851,2.7650734000288133,15SPJJJ09024061
17583,23.950000000000003,15SPJJJ10029029,577348835878129703,38bf99b15a,34.649906158447266,29.757141576172227,2018-09-29 17:13:45 CAT,32.458778381347656,57.650000000000006,80477.82579075985,-8.688241860382893,3.005337881214066,15SPJJJ09031032
